ID,RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,class
1,17,14,20,4,3,1,12,1,1,1
2,10,16,17,10,9,2,2,1,1,1
3,4,13,16,13,14,2,1,1,1,1
4,10,9,17,8,8,2,5,1,1,1
5,9,10,17,7,15,2,4,1,1,1
6,3,3,17,15,13,3,4,1,11,1
7,9,10,17,4,16,2,5,1,1,1
8,10,8,17,3,17,2,5,1,1,1
9,16,17,16,11,4,2,6,1,1,1
10,10,6,17,10,14,2,7,1,5,1
11,2,3,16,14,17,3,4,1,10,1
12,10,4,17,8,14,2,10,1,1,1
13,2,5,16,11,18,3,3,1,10,1
14,9,5,16,8,17,2,7,1,7,1
15,10,2,16,9,18,2,9,1,1,1
16,10,4,16,6,17,2,7,1,1,1
17,11,2,17,5,16,2,12,1,1,1
18,18,18,18,3,2,1,15,1,1,1
19,15,16,17,5,4,1,13,1,1,1
20,8,7,16,16,9,2,8,1,3,1
21,9,4,16,13,10,2,9,1,8,1
22,16,19,17,1,4,1,14,1,1,1
23,9,3,17,8,10,2,12,1,1,1
24,9,4,16,10,14,2,10,1,1,1
25,8,11,16,5,11,2,8,1,1,1
26,10,6,16,6,14,3,9,1,1,1
27,12,9,16,11,8,2,8,1,1,1
28,8,5,16,9,15,2,8,1,1,1
29,10,2,16,11,17,2,9,1,1,1
30,11,8,16,8,11,2,9,1,1,1
31,10,2,16,9,15,2,12,1,6,1
32,9,4,16,4,18,2,10,1,1,1
33,11,4,16,6,13,2,10,1,9,1
34,9,2,16,11,19,2,10,1,3,1
35,11,3,16,10,13,2,12,1,1,1
36,2,10,16,6,10,2,10,1,1,1
37,15,16,16,9,3,2,13,1,1,1
38,12,3,16,10,13,3,11,1,1,1
39,19,17,18,1,2,1,16,1,1,1
40,19,17,18,1,2,1,16,1,1,1
41,12,3,16,4,15,3,12,1,1,1
42,10,3,16,6,17,2,11,1,1,1
43,11,9,16,9,10,2,10,1,1,1
44,18,15,18,2,2,1,17,1,1,1
45,12,3,16,5,13,2,12,1,12,1
46,15,13,16,10,3,2,14,1,1,1
47,14,9,16,5,9,2,13,1,7,1
48,20,16,17,2,2,1,17,1,4,1
49,19,9,17,2,4,1,18,1,1,1
50,15,14,15,6,4,2,14,1,1,1
51,19,15,17,1,2,1,18,1,7,1
52,16,9,15,8,6,2,15,1,5,1
53,12,12,13,5,11,2,15,1,1,1
54,13,8,13,8,11,2,15,1,1,1
55,11,9,13,8,13,2,14,1,4,1
56,11,2,13,8,20,2,15,1,10,1
57,1,6,16,4,13,2,7,1,13,1
58,13,5,16,8,13,2,8,1,1,1
59,9,13,17,5,14,2,3,1,1,1
60,9,12,17,5,10,2,6,1,5,1
61,15,14,17,4,8,1,12,1,1,1
62,16,15,16,9,2,1,11,5,1,1
63,18,13,18,3,3,1,16,1,5,1
64,19,17,17,2,2,1,17,1,1,1
65,18,13,17,3,4,1,17,1,3,1
66,17,14,16,4,3,1,16,1,1,1
67,18,8,17,2,5,1,18,1,7,1
68,18,8,17,2,6,1,18,1,7,1
69,18,8,16,3,5,1,17,1,7,1
70,19,11,16,2,4,1,18,1,2,1
71,2,20,17,16,3,1,1,1,5,2
72,14,14,18,8,3,2,6,1,13,2
73,3,8,16,13,16,3,2,1,1,2
74,5,11,16,15,12,2,2,1,1,2
75,3,7,16,13,16,3,2,1,1,2
76,2,7,16,13,16,3,2,1,1,2
77,5,12,17,13,7,3,3,1,1,2
78,4,6,16,13,11,2,3,1,1,2
79,4,16,16,7,12,2,2,1,6,2
80,2,4,16,18,11,3,2,1,1,2
81,3,5,16,19,8,3,2,1,1,2
82,3,10,16,11,17,2,2,1,1,2
83,5,12,16,7,11,3,4,1,1,2
84,3,8,16,14,12,3,3,1,4,2
85,1,18,14,19,5,4,1,1,1,2
86,4,11,16,13,9,2,5,1,1,2
87,2,10,16,12,18,2,3,1,1,2
88,5,12,16,13,8,3,4,1,4,2
89,4,7,16,12,12,2,4,1,1,2
90,5,2,16,17,17,3,4,1,4,2
91,14,6,17,4,5,3,14,1,9,2
92,3,5,16,12,15,2,6,1,1,2
93,2,8,16,15,18,1,7,1,8,2
94,2,10,15,12,16,2,5,1,1,2
95,4,3,15,13,18,3,5,1,1,2
96,14,11,16,11,5,2,10,1,1,2
97,14,7,17,3,6,3,15,1,6,2
98,9,1,15,5,20,2,14,1,10,2
99,7,2,13,16,17,3,9,1,1,2
100,12,6,14,11,12,2,13,1,1,2
101,6,3,13,12,18,2,13,1,9,2
102,8,1,13,15,12,3,16,1,1,2
103,13,2,13,2,20,2,16,1,8,2
104,20,15,15,1,1,1,20,1,1,2
105,20,16,13,5,1,1,19,1,1,2
106,20,1,1,18,5,3,20,1,14,2
107,20,1,1,19,1,2,20,20,11,2
108,20,1,1,3,1,1,20,1,10,2
109,19,19,1,3,9,1,19,1,4,2
110,13,15,1,1,20,1,19,1,1,2
111,20,1,1,2,17,1,20,1,1,2
112,20,1,1,2,15,1,20,1,1,2
113,20,2,1,1,4,1,20,1,1,2
114,15,13,18,7,8,2,5,1,6,2
115,14,8,18,5,7,2,8,1,1,2
116,14,12,18,9,6,2,6,1,1,2
117,13,10,18,11,6,2,6,1,4,2
118,8,15,17,17,4,3,2,1,1,2
119,7,10,17,13,7,3,3,1,12,2
120,5,14,16,12,7,3,2,1,1,2
121,14,10,17,9,7,2,8,1,1,2
122,6,6,16,15,13,3,3,1,9,2
123,7,10,16,12,11,2,4,1,1,2
124,7,13,16,16,7,2,3,1,1,2
125,18,9,17,5,10,2,9,1,1,2
126,15,6,17,14,7,2,10,1,5,2
127,6,6,17,7,10,2,10,1,1,2
128,17,15,11,11,4,2,18,1,7,2
129,17,13,10,16,5,2,16,2,7,2
130,16,16,7,15,2,2,19,1,8,2
131,18,15,5,10,5,2,19,1,1,2
132,20,14,1,10,1,1,20,1,4,2
133,13,12,18,5,7,2,5,1,1,2
134,12,15,18,13,3,2,5,1,6,2
135,12,11,18,7,10,2,4,1,1,2
136,12,9,18,9,6,2,8,1,11,2
137,12,6,17,4,15,2,7,1,5,2
138,8,5,17,15,13,2,4,1,1,2
139,7,3,16,13,19,3,2,1,1,2
140,7,5,16,16,16,3,3,1,1,2
141,7,11,16,15,7,3,4,1,1,2
142,14,9,17,4,11,2,7,1,7,2
143,6,4,16,12,14,3,5,1,10,2
144,8,6,16,17,9,3,5,1,1,2
145,6,6,15,6,13,2,13,1,10,2
146,14,4,17,7,8,2,11,1,14,2
147,11,14,17,4,10,1,10,1,1,3
148,3,11,16,10,9,2,6,1,1,3
149,7,10,16,11,9,2,8,1,4,3
150,5,1,16,10,12,2,9,1,1,3
151,6,8,16,17,7,2,7,1,7,3
152,17,18,18,2,2,1,16,1,1,3
153,11,14,17,1,14,1,14,1,1,3
154,3,12,16,6,9,2,6,1,1,3
155,7,5,16,9,8,2,13,1,1,3
156,5,7,16,7,14,2,10,1,1,3
157,6,12,16,8,8,2,11,1,1,3
158,17,17,17,1,3,1,17,1,1,3
159,11,13,16,13,4,2,13,1,1,3
160,12,13,15,15,3,2,13,1,4,3
161,13,11,15,13,5,2,14,1,1,3
162,16,14,16,2,8,1,13,1,10,3
163,19,17,17,3,2,1,15,1,15,3
164,1,16,12,20,1,6,1,14,1,5
165,15,3,9,17,9,2,18,1,1,5
166,18,1,9,14,11,2,19,1,1,5
167,17,1,8,14,19,2,20,1,1,5
168,16,2,1,16,20,2,19,1,1,5
169,6,5,1,17,20,4,18,1,1,5
170,16,10,1,17,15,2,19,1,1,5
171,20,12,1,15,5,2,20,1,1,5
172,1,7,1,20,1,20,1,1,1,5
173,1,6,1,20,1,20,1,1,1,5
174,17,11,1,11,5,2,20,1,1,5
175,17,4,8,19,5,3,17,2,20,5
176,17,6,2,13,19,1,19,1,11,5
177,15,16,11,14,6,1,16,1,1,6
178,16,15,11,5,10,1,17,1,1,6
179,13,19,10,15,6,1,16,1,1,6
180,14,17,10,16,9,1,16,1,1,6
181,1,19,8,13,20,1,1,1,1,6
182,15,20,4,16,7,1,18,1,1,6
183,16,17,1,19,10,1,19,1,1,6
184,16,19,1,1,19,1,19,1,1,6
185,1,20,1,1,20,1,1,1,1,6
186,1,14,15,17,11,6,1,8,1,7
187,13,18,15,19,1,5,1,11,1,7
188,19,12,15,6,6,2,13,1,1,7
189,19,20,10,18,1,3,17,1,1,7
190,19,20,9,9,1,1,11,11,1,7
191,4,16,8,17,16,1,11,5,1,7
192,3,19,1,19,18,1,12,5,4,7
193,4,17,1,20,19,1,15,3,4,7
194,8,19,1,18,14,1,9,11,4,7
195,7,19,1,18,18,1,9,10,3,7
196,2,17,1,20,19,1,15,4,2,7
197,2,16,1,20,17,1,16,6,1,7
198,8,19,1,19,18,1,14,5,1,7
199,1,18,1,20,16,1,15,5,1,7
200,3,20,1,20,15,1,13,4,1,7
201,1,20,1,19,19,1,7,4,1,7
202,6,1,1,5,20,9,14,1,1,7
203,1,19,1,20,20,1,7,4,1,7
204,6,19,1,18,16,1,6,11,1,7
205,4,20,1,19,19,1,12,5,1,7
206,8,20,1,17,14,1,11,10,1,7
207,5,20,1,17,16,1,11,9,1,7
208,13,18,1,17,11,5,1,19,1,7
209,5,18,1,20,11,1,16,4,1,7
210,4,17,1,20,8,1,16,7,1,7
211,7,20,1,18,15,1,7,11,1,7
212,17,18,1,18,19,1,8,11,1,7
213,5,18,1,18,20,1,8,10,1,7
214,8,18,1,19,19,1,11,11,1,7
