,sepal_length,sepal_width,petal_length,petal_width,class
0,2,6,1,1,0
1,1,3,1,1,0
2,1,4,1,1,0
3,1,4,1,1,0
4,1,6,1,1,0
5,2,6,2,2,0
6,1,5,1,2,0
7,1,5,1,1,0
8,1,2,1,1,0
9,1,4,1,1,0
10,2,6,1,1,0
11,1,5,2,1,0
12,1,3,1,1,0
13,1,3,1,1,0
14,3,6,1,1,0
15,3,6,1,2,0
16,2,6,1,2,0
17,2,6,1,2,0
18,3,6,2,2,0
19,2,6,1,2,0
20,2,5,2,1,0
21,2,6,1,2,0
22,1,6,1,1,0
23,2,5,2,2,0
24,1,5,2,1,0
25,1,3,2,1,0
26,1,5,2,2,0
27,2,6,1,1,0
28,2,5,1,1,0
29,1,4,2,1,0
30,1,4,2,1,0
31,2,5,1,2,0
32,2,6,1,1,0
33,3,6,1,1,0
34,1,4,1,1,0
35,1,4,1,1,0
36,3,6,1,1,0
37,1,4,1,1,0
38,1,3,1,1,0
39,2,5,1,1,0
40,1,6,1,2,0
41,1,1,1,2,0
42,1,4,1,1,0
43,1,6,2,2,0
44,2,6,2,2,0
45,1,3,1,2,0
46,2,6,2,1,0
47,1,4,1,1,0
48,2,6,1,1,0
49,1,5,1,1,0
50,6,4,4,4,1
51,5,4,4,4,1
52,6,4,4,4,1
53,3,1,3,3,1
54,5,2,4,4,1
55,3,2,4,3,1
56,4,5,4,4,1
57,1,1,3,3,1
58,5,2,4,3,1
59,2,1,3,4,1
60,1,1,3,3,1
61,4,3,3,4,1
62,4,1,3,3,1
63,4,2,4,4,1
64,3,2,3,3,1
65,5,4,4,4,1
66,3,3,4,4,1
67,3,1,3,3,1
68,4,1,4,4,1
69,3,1,3,3,1
70,4,4,4,5,1
71,4,2,3,3,1
72,4,1,4,4,1
73,4,2,4,3,1
74,5,2,3,3,1
75,5,3,4,4,1
76,6,2,4,4,1
77,5,3,5,5,1
78,4,2,4,4,1
79,3,1,3,3,1
80,3,1,3,3,1
81,3,1,3,3,1
82,3,1,3,3,1
83,4,1,5,4,1
84,2,3,4,4,1
85,4,5,4,4,1
86,5,4,4,4,1
87,4,1,4,3,1
88,3,3,3,3,1
89,3,1,3,3,1
90,3,1,4,3,1
91,4,3,4,4,1
92,3,1,3,3,1
93,1,1,3,3,1
94,3,1,3,3,1
95,3,3,3,3,1
96,3,2,3,3,1
97,4,2,3,3,1
98,2,1,3,3,1
99,3,2,3,3,1
100,4,5,6,6,2
101,3,1,5,5,2
102,6,3,6,6,2
103,4,2,6,5,2
104,5,3,6,6,2
105,6,3,6,6,2
106,1,1,4,5,2
107,6,2,6,5,2
108,5,1,6,5,2
109,6,6,6,6,2
110,5,4,5,5,2
111,5,1,5,5,2
112,6,3,5,6,2
113,3,1,5,5,2
114,3,2,5,6,2
115,5,4,5,6,2
116,5,3,5,5,2
117,6,6,6,6,2
118,6,1,6,6,2
119,4,1,5,4,2
120,6,4,6,6,2
121,3,2,4,5,2
122,6,2,6,5,2
123,4,1,4,5,2
124,5,5,6,6,2
125,6,4,6,5,2
126,4,2,4,5,2
127,4,3,4,5,2
128,5,2,6,6,2
129,6,3,6,4,2
130,6,2,6,5,2
131,6,6,6,5,2
132,5,2,6,6,2
133,4,2,5,4,2
134,4,1,6,4,2
135,6,3,6,6,2
136,4,5,6,6,2
137,5,4,5,5,2
138,4,3,4,5,2
139,6,4,5,6,2
140,5,4,6,6,2
141,6,4,5,6,2
142,3,1,5,5,2
143,6,4,6,6,2
144,5,5,6,6,2
145,5,3,5,6,2
146,4,1,5,5,2
147,5,3,5,5,2
148,4,5,5,6,2
149,4,3,5,5,2
